groep;parameter;typegroep;elke_param_verplicht;
O2;O2;individuele param;ja;
T;T;individuele param;ja;
SALNTT;SALNTT;individuele param;ja;
Platichthys flesus;Platichthys flesus;individuele param;ja;
Pleuronectes platessa;Pleuronectes platessa;individuele param;ja;
Hg;Hg;individuele param;ja;
DS;DS;individuele param;ja;
VET;VET;individuele param;ja;
Nanorg;Nanorg;individuele param;ja;
PO4;PO4;individuele param;ja;
CHLFa;CHLFa;individuele param;ja;
Phaeocystis;Phaeocystis;individuele param;ja;
Corg;Corg;individuele param;ja;
DSslak;DSslak;individuele param;ja;
Nucella lapillus;Nucella lapillus;individuele param;ja;
Nassarius reticulatus;Nassarius reticulatus;individuele param;ja;
organotin;DC4ySn;Chemische stof;ja;
organotin;DFySn;Chemische stof;ja;
organotin;MC4ySn;Chemische stof;ja;
organotin;MFySn;Chemische stof;ja;
organotin;TC4ySn;Chemische stof;ja;
organotin;TFySn;Chemische stof;ja;
Phocoena Phocoena;Phocoena Phocoena;individuele param;ja;
Melanitta nigra;Melanitta nigra;individuele param;ja;
OSPAR_PLAIND;OSPAR_PLAIND;individuele param;ja;
OSPAR_PLATOT;OSPAR_PLATOT;individuele param;ja;
OSPAR_PLAUSE;OSPAR_PLAUSE;individuele param;ja;
OSPAR_PLATOT;OSPAR_PLAUSE;individuele param;nee;
zeehonden;Phoca vitulina;Biotaxon;nee;
zeehonden;Halichoerus grypus;Biotaxon;nee;
RIKILT-1 mg/kg;As;Chemische stof;ja;
RIKILT-1 mg/kg;Cd;Chemische stof;ja;
RIKILT-1 mg/kg;Hg;Chemische stof;ja;
RIKILT-1 mg/kg;Pb;Chemische stof;ja;
WSFR-1 ng/gX;5C1yChr;Chemische stof;ja;
RIKILT-1 ng/gX;aHBCD;Chemische stof;ja;
RIKILT-1 ng/g;BaA;Chemische stof;ja;
RIKILT-1 ng/g;BaP;Chemische stof;ja;
WSFR-1 ng/gX;BbF;Chemische stof;ja;
RIKILT-1 ng/g;BcFle;Chemische stof;ja;
RIKILT-1 ng/g;BghiPe;Chemische stof;ja;
RIKILT-1 ng/gX;bHBCD;Chemische stof;ja;
WSFR-1 ng/gX;BjF;Chemische stof;ja;
RIKILT-1 ng/g;BkF;Chemische stof;ja;
RIKILT-1 ng/gX;cHBCD;Chemische stof;ja;
RIKILT-1 ng/g;Chr;Chemische stof;ja;
RIKILT-1 ng/g;cycPecdPyr;Chemische stof;ja;
RIKILT-1 ng/g;DBaeP;Chemische stof;ja;
WSFR-1 ng/gX;DBahAnt;Chemische stof;ja;
RIKILT-1 ng/g;DBahP;Chemische stof;ja;
WSFR-1 ng/gX;DBaiP;Chemische stof;ja;
RIKILT-1 ng/g;DBalP;Chemische stof;ja;
RIKILT-1 ng/g;InP;Chemische stof;ja;
RIKILT-1 ng/g;PBDE100;Chemische stof;ja;
WSFR-1 ng/gX;PBDE119;Chemische stof;ja;
WSFR-1 ng/gX;PBDE138;Chemische stof;ja;
RIKILT-1 ng/g;PBDE153;Chemische stof;ja;
RIKILT-1 ng/g;PBDE154;Chemische stof;ja;
RIKILT-1 ng/g;PBDE17;Chemische stof;ja;
RIKILT-1 ng/g;PBDE183;Chemische stof;ja;
