Section,Databundelcode,Record ID,Uitvalreden,Informatie
Kolomwaarde controle,WMR_2024_01 Noordzeebenthos bodemschaaf_tijdkolom_3031,IMA2024_189482O_67,ongeldige code,Waardebewerkingsmethode 'NVT' niet in: {nan}
Kolomwaarde controle,WMR_2024_01 Noordzeebenthos bodemschaaf_tijdkolom_3031,IMA2024_189482T107381N_70,ongeldige code,Waardebewerkingsmethode 'NVT' niet in: {nan}
Kolomwaarde controle,WMR_2024_01 Noordzeebenthos bodemschaaf_tijdkolom_3031,IMA2024_189482T107400N_72,ongeldige code,Waardebewerkingsmethode 'NVT' niet in: {nan}
Kolomwaarde controle,WMR_2024_01 Noordzeebenthos bodemschaaf_tijdkolom_3031,IMA2024_189482T138333N_74,ongeldige code,Waardebewerkingsmethode 'NVT' niet in: {nan}
Kolomwaarde controle,WMR_2024_01 Noordzeebenthos bodemschaaf_tijdkolom_3031,IMA2024_189482T141595N_79,ongeldige code,Waardebewerkingsmethode 'NVT' niet in: {nan}
Kolomwaarde controle,WMR_2024_01 Noordzeebenthos bodemschaaf_tijdkolom_3031,IMA2024_189483O_81,ongeldige code,Waardebewerkingsmethode 'NVT' niet in: {nan}
Kolomwaarde controle,WMR_2024_01 Noordzeebenthos bodemschaaf_tijdkolom_3031,IMA2024_189483T107199N_83,ongeldige code,Waardebewerkingsmethode 'NVT' niet in: {nan}
Kolomwaarde controle,WMR_2024_01 Noordzeebenthos bodemschaaf_tijdkolom_3031,IMA2024_189483T107232N_84,ongeldige code,Waardebewerkingsmethode 'NVT' niet in: {nan}
Kolomwaarde controle,WMR_2024_01 Noordzeebenthos bodemschaaf_tijdkolom_3031,IMA2024_189483T107381N_86,ongeldige code,Waardebewerkingsmethode 'NVT' niet in: {nan}
Kolomwaarde controle,WMR_2024_01 Noordzeebenthos bodemschaaf_tijdkolom_3031,IMA2024_189483T107400N_88,ongeldige code,Waardebewerkingsmethode 'NVT' niet in: {nan}
Kolomwaarde controle,WMR_2024_01 Noordzeebenthos bodemschaaf_tijdkolom_3031,IMA2024_189483T138333N_90,ongeldige code,Waardebewerkingsmethode 'NVT' niet in: {nan}
Kolomwaarde controle,WMR_2024_01 Noordzeebenthos bodemschaaf_tijdkolom_3031,IMA2024_189483T140302N_95,ongeldige code,Waardebewerkingsmethode 'NVT' niet in: {nan}
Kolomwaarde controle,WMR_2024_01 Noordzeebenthos bodemschaaf_tijdkolom_3031,IMA2024_189483T141595N_98,ongeldige code,Waardebewerkingsmethode 'NVT' niet in: {nan}
Kolomwaarde controle,WMR_2024_01 Noordzeebenthos bodemschaaf_tijdkolom_3031,IMA2024_189486O_262,ongeldige code,Waardebewerkingsmethode 'NVT' niet in: {nan}
Kolomwaarde controle,WMR_2024_01 Noordzeebenthos bodemschaaf_tijdkolom_3031,IMA2024_189486T107199N_264,ongeldige code,Waardebewerkingsmethode 'NVT' niet in: {nan}
Kolomwaarde controle,WMR_2024_01 Noordzeebenthos bodemschaaf_tijdkolom_3031,IMA2024_189486T107277N_266,ongeldige code,Waardebewerkingsmethode 'NVT' niet in: {nan}
Kolomwaarde controle,WMR_2024_01 Noordzeebenthos bodemschaaf_tijdkolom_3031,IMA2024_189486T107388N_268,ongeldige code,Waardebewerkingsmethode 'NVT' niet in: {nan}
